Alter;Groesse;Geschlecht;AlterV;AlterM;AnzSchuhe;NoteMathe;MatheZufr
 22;170;Frau; 58; 56;40;3,3;geht so
 19;162;Frau; 48; 42;40;NA;NA
 18;192;m; 55; 51;13;2,7;zufrieden
 20;170;w; 54; 59;35;2,7;zufrieden
 19;170;Frau; 53; 52;10;5,0;unzufrieden
199;195;Mann; 54; 49;6;NA;NA
 18;165;Frau; 49; 45;22;3,3;unzufrieden
 21;187;Mann; 50; 50;6;5,0;unzufrieden
 29;180;mann; 74; 67;6;4,0;zufrieden
 21;172;Frau; 48; 48;25;1,7;sehr zufrieden
 19;180;Frau; 48; 53;5;3,0;zufrieden
 19;170;Frau; 48; 48;20;NA;NA
 19;175;frau; 58; 55;35;4,0;geht so
 23;185;Mann; 56; 52;15;3,7;sehr zufrieden
 21;166;Frau; 47; 50;27;3,0;geht so
 34;168;Frau; 54; 57;25;3,3;geht so
 23;170;Frau; 65; 63;40;5,0;NA
 30;160;Frau; 52; 49;60;3,3;geht so
 23;170;Mann; 57; 54;6;3,3;geht so
 19;173;Frau; 54; 52;20;2,7;geht so
 19;179;w; 66; 54;16;3,0;geht so
 19;160;Frau; 49; 47;30;NA;NA
 20;180;m; 60; 55;13;1,0;sehr zufrieden
 21;173;frau; 51; 50;12;2,7;sehr zufrieden
 19;170;Frau; 73; 59;10;1,3;sehr zufrieden
 19;168;w; 57; 52;15;4,0;geht so
 22;188;Mann; 55; 56;3;NA;NA
 21;168;Mann; 65; 60;5;5,0;sehr zufrieden
 21;173;frau; 49; 48;15;NA;NA
 19;175;Frau; 59; 58;25;1,0;sehr zufrieden
 20;167;w; 50; 50;65;5,0;unzufrieden
 20;165;Frau; 44; 44;20;4,0;geht so
 19;172;Frau; 54; 52;60;3,0;zufrieden
 19;174;Frau; 60; 52;17;NA;NA
 24;174;Frau; 52; 54;12;NA;NA
 19;161;Frau; 61; 60;20;1,0;sehr zufrieden
 21;168;frau; 49; 47;20;3,3;geht so
 24;185;m; 60; 54;10;5,0;unzufrieden
 19;164;Frau; 48; 50;30;3,0;geht so
 21;177;Mann; 53; 55;19;3,7;unzufrieden
 19;179;Mann; 50; 50;5;3,3;geht so
 21;158;Frau; 48; 47;40;5,0;unzufrieden
 19;165;mann; 50; 49;4;NA;NA
 22;161;Frau; 54; 53;30;3,3;geht so
 18;160;w; 51; 50;20;1,7;sehr zufrieden
 19;165;Frau; 49; 48;20;2,7;zufrieden
 21;183;Mann; 59; 57;15;3,3;sehr zufrieden
 22;181;Mann; 54; 52;10;NA;NA
 23;166;Frau; 56; 50;40;3,7;zufrieden
 19;185;Mann; 60; 48;11;NA;NA
 20;168;Frau; 56; 55;15555;2,7;zufrieden
 20;178;Frau; 64; 60;8;5,0;unzufrieden
 23;168;Frau; 62; 62;50;2,7;zufrieden
 29;183;Mann; 61; 59;3;NA;NA
 19;168;Frau; 55; 57;15;NA;NA
 28;182;Mann; 53; 54;16;3,0;zufrieden
 19;169;frau; 49; 47;25;NA;NA
 24;173;mann; 56; 54;12;5,0;geht so
 22;185;m; 60; 55;4;NA;NA
 20;169;w; 52; 50;25;1,3;sehr zufrieden
 21;185;m; 58; 57;9;5,0;unzufrieden
 18;160;Frau; 55; 50;10;1,0;sehr zufrieden
 20;175;Mann; 50; 50;3;1,7;sehr zufrieden
 21;178;mann; 61; 54;11;4,0;geht so
 25;165;w; 60; 60;10;3,3;geht so
 20;178;mann; 53; 50;10;NA;NA
 22;177;mann; 52; 51;8;NA;NA
 23;189;Mann; 57; 54;11;NA;NA
 24;179;Mann; 51; 51;15;4,0;unzufrieden
 23;178;Mann; 60; 58;4;2,3;zufrieden
 23;169;frau; 55; 54;60;3,7;geht so
 21;173;Frau; 55; 54;40;3,3;geht so
 20;187;Mann; 52; 53;11;NA;NA
 22;170;Frau; 46; 49;15;4,7;unzufrieden
 21;164;w; 55;566;10;2,7;zufrieden
 20;171;Frau; 47; 42;50;3,0;sehr zufrieden
 19;168;Frau; 54; 57;8;NA;NA
 27;186;Mann; 51; 47;10;5,0;unzufrieden
 20;180;Mann; 61; 51;5;3,0;zufrieden
 25;182;Mann; 80; 70;5;1,7;zufrieden
 19;169;Frau; 56; 56;25;3,0;geht so
 21;189;Mann; 59; 57;5;1,7;zufrieden
 19;175;w; 55; 44;30;4,0;unzufrieden
 19;169;frau; 52; 50;20;1,7;sehr zufrieden
 32;175;w; 62; 60;30;3,0;unzufrieden
 20;175;Frau; 50; 51;23;4,0;zufrieden
 22;193;Mann; 49; 47;11;NA;NA
 26;181;Mann; 65; 64;7;NA;NA
 31;156;Frau; 59; 59;50;2,3;zufrieden
 20;170;Frau; 58; 53;10;2,7;zufrieden
 20;174;mann; 62; 54;8;5,0;unzufrieden
 21;173;Frau; 59; 60;30;5,0;unzufrieden
 19;165;Frau; 52; 48;40;1,0;sehr zufrieden
 20;165;Frau; 55; 56;30;4,0;geht so
 19;179;m; 51; 42;8;2,7;geht so
 23;154;Frau; 50; 42;40;NA;NA
 21;177;Frau; 60; 54;12;2,7;zufrieden
 21;173;Frau; 53; 52;120;2,3;zufrieden
 21;164;Frau; 52; 50;32;3,7;unzufrieden
 23;169;Frau; 53; 52;24;4,0;zufrieden
 25;182;mann; 55; 47;12;NA;NA
 27;173;Frau; 70; 58;10;5,0;unzufrieden
 21;160;Frau; 65; 58;20;NA;NA
 20;160;Frau; 48; 47;25;2,7;unzufrieden
 19;169;Frau; 55; 53;30;3,0;zufrieden
 19;176;mann; 59; 54;10;5,0;unzufrieden
 20;180;Mann; 57; 58;10;3,0;zufrieden
 17;184;Mann; 50; 46;8;2,0;zufrieden
 23;189;m; 60; 54;30;NA;NA
 25;188;mann; 69; 60;4;3,0;unzufrieden
 18;168;Frau; 47; 49;20;2,7;geht so
 20;195;Mann; 56; 55;14;2,7;zufrieden
 19;175;mann; 58; 50;19;NA;NA
 18;170;Mann; 54; 52;6;4,0;sehr zufrieden
 22;164;frau; 51; 48;10;3,3;unzufrieden
 28;165;mann; 59; 60;12;4,0;sehr zufrieden
 22;193;Mann; 49; 46;13;3,7;unzufrieden
 24;172;Frau; 47; 48;15;2,7;geht so
 21;168;Frau; 50; 50;30;2,7;unzufrieden
 21;186;Mann; 49; 47;8;1,0;sehr zufrieden
 20;163;Frau; 50; 50;30;5,0;unzufrieden
 21;160;w; 52; 48;45;3,0;geht so
 24;160;Frau; 58; 57;40;2,7;sehr zufrieden
 22;175;Mann; 56; 54;11;3,7;unzufrieden
 22;170;w; 58; 56;15;5,0;unzufrieden
 23;174;Frau; 55; 50;27;4,0;unzufrieden
 25;170;Frau; 53; 48;30;NA;NA
 20;165;Frau; 47; 49;16;2,3;zufrieden
 33;158;Frau; 53; 55;15;NA;NA
 22;178;Mann; 59; 57;9;5,0;unzufrieden
 25;184;mann; 52; 49;5;NA;NA
 22;163;Frau; 47; 48;35;5,0;unzufrieden
 29;173;Frau; 53; 55;12;5,0;unzufrieden
 27;179;Mann; 49; 47;10;4,0;unzufrieden
 29;183;Mann; 61; 60;15;NA;NA
 27;165;Frau; 53; 53;10;4,0;unzufrieden
 22;186;m; 54; 55;3;5,0;unzufrieden
 22;186;Mann; 52; 53;12;5,0;unzufrieden
 19;168;Frau; 57; 54;30;3,3;unzufrieden
 21;164;Frau; 48; 46;20;NA;NA
 20;173;Frau; 49; 47;25;3,0;geht so
 24;186;mann; 54; 54;6;NA;NA
 18;178;mann; 48; 44;10;3,7;geht so
 19;166;Frau; 54; 49;30;3,0;unzufrieden
 18;171;Frau; 49; 48;15;1,7;zufrieden
 21;183;Mann; 69; 50;9;3,3;unzufrieden
 28;165;Frau; 56; 56;40;NA;NA
 21;158;Frau; 58; 46;27;3,3;zufrieden
 22;179;m; 49; 48;7;2,7;geht so
 19;170;Frau; 60; 56;6;5,0;unzufrieden
 19;174;Mann; 54; 52;4;NA;NA
 23;170;Frau; 55; 40;15;3,0;zufrieden
 20;170;Frau; 53; 50;20;2,7;zufrieden
 21;159;Frau; 38; 40;9;5,0;unzufrieden
 22;165;w; 57; 50;35;NA;sehr zufrieden
 21;175;Mann; 50; 52;10;2,7;unzufrieden
 20;170;Frau; 47; 47;23;2,0;zufrieden
 21;175;Frau; 49; 50;15;5,0;unzufrieden
 28;180;mann; 50; 49;12;3,7;unzufrieden
 21;169;frau; 52; 48;50;3,3;zufrieden
 20;151;Frau; 47; 47;12;3,0;unzufrieden
 25;157;w; 54; 61;30;3,3;geht so
 19;175;mann; 55; 48;11;NA;NA
 21;191;Mann; 49; 41;10;2,3;zufrieden
 21;164;Frau; 56; 50;18;NA;NA
 21;162;Frau; 61; 54;20;4,0;sehr zufrieden
 20;171;Mann; 48; 45;5;NA;unzufrieden
 31;185;Mann; 56; 54;30;NA;NA
 20;165;Frau; 55; 52;27;2,7;unzufrieden
 19;183;Mann; 49; 47;6;2,0;unzufrieden
 24;181;mann; 59; 54;10;4,0;unzufrieden
 24;193;Mann; 50; 50;20;3,3;geht so
 22;166;frau; 48; 48;32;5,0;unzufrieden
 19;168;Frau; 54; 51;50;3,7;geht so
 24;161;frau; 69; 58;30;5,0;unzufrieden
 22;178;Mann; 56; 58;5;3,0;zufrieden
 19;179;Mann; 56; 53;6;NA;NA
 26;168;Frau; 53; 49;30;3,7;sehr zufrieden
 21;174;Mann; 54; 50;9;NA;NA
 24;164;frau; 58; 56;40;5,0;unzufrieden
 22;197;Mann; 77; 53;5;3,0;zufrieden
 20;168;Frau; 59; 58;50;NA;NA
 21;172;frau; 58; 56;25;1,7;sehr zufrieden
 21;171;frau; 54; 51;40;5,0;unzufrieden
